Name,File,Link,Genre,Audio quality
AC/DC - Capital Centre 1981,acdc-capital-centre-1981,https://www.youtube.com/watch?v=uXVas4bUbsg,Hard Rock,Bad
AC/DC - Munich 2001,acdc-munich-2001,https://www.youtube.com/watch?v=SUR8ZIjLKFg,Hard Rock,Good
Code Orange - The Electric Factory 2014,code-orange-the-electric-factory-2014,https://www.youtube.com/watch?v=Gv2pZptU3H0,Hardcore,Good
Coldplay - Toronto 2006,coldplay-toronto-2006,https://www.youtube.com/watch?v=B_Zbwm4hrRM,Pop Rock,Good
Eminem - Reading Festival 2017,eminem-reading-festival-2017,https://www.youtube.com/watch?v=RdQ-0swmshY,Hip Hop,Good
Metallica - Moscow 1991,metallica-moscow-1991,https://www.youtube.com/watch?v=4CT5X4ehE8Q,Heavy Metal,Good
Nails - This is Hardcore 2013,nails-this-is-hardcoore-2013,https://www.youtube.com/watch?v=tg5K42gfbh8,Hardcore,Good
Punch - The First Unitarian Church 2011,punch-the-first-unitarian-church-2011,https://www.youtube.com/watch?v=pAVop3aWNx4,Hardcore,Average
Wu-Tang Clan - Hultsfreds Festival 1997,wu-tang-clan-hultsfreds-festival-1997,https://www.youtube.com/watch?v=8h3DVexHKXI,Hip Hop,Average
CHVRCHES - Glastonbury 2016,chvrches-glastonbury-2016.txt,https://www.youtube.com/watch?v=nyH-5lfp2M8,Synth-pop,Good
